SoJo source,Homepage URL,Present in Media Cloud (yes/no),Has health stories (yes/no),Has climate stories(yes/no),Notes/Questions
BBC: “People Fixing the World”,https://www.bbc.co.uk/programmes/p04d42vf,,,,This is a podcast/youtube series
BBC: “My Perfect Country”,https://www.bbc.co.uk/programmes/p03gsc50,,,,This is a podcast/youtube series
BBC: “Crossing Divides”,https://www.bbc.com/news/topics/czpqp1q456vt,,,,This is a podcast/youtube series
BBC: “Future Planet”,https://www.bbc.co.uk/future/future-planet,No,Yes,Yes,
POLITICO Magazine: “What Works” + “What Works Next”,https://www.politico.com/magazine/what-works-next/,No,no,no,
The Seattle Times: “Education Lab” + “Traffic Lab” + “Project Homeless”,https://www.seattletimes.com/education-lab/,Yes,Yes,No,
“How Do We Fix It?”,,,,,do we include this? It's a podcast
“Finding Fixes”,,,,,do we include this? It's a podcast
The New York Times: “Fixes”,https://www.nytimes.com/column/fixes,Yes,Yes,Yes,
Fast Company: “Impact”,https://www.fastcompany.com/impact,no,yes,yes,
Boston Globe: “Things That Work”,https://apps.bostonglobe.com/metro/graphics/2017/06/globe-coverage/,yes,yes,no,
Philadelphia Citizen: “Ideas we Should Steal”,https://thephiladelphiacitizen.org/tag/ideas-we-should-steal-philly/,no,yes,yes,
The Montgomery Advertiser: “SoJo MGM”,DNE -> https://www.montgomeryadvertiser.com/sojomgm/,no,no,no,The removed the landing page for SoJo + I couldn't find any health/climate stories.
Montana Free Press: “Long Streets”,https://montanafreepress.org/,yes,yes,yes,"although it has health and climate stories, they are regular reporting styled rather than sojo. also note that I am talking abt MIFP in general rather than the long streets program which is exclusivly about the network of streets, roads and highways, discussing teh economics and political side of them."
NBC News: “Reviving Detroit”,https://www.youtube.com/playlist?list=PL0tDb4jw6kPyNwAhhXJI54l5Uxzssa7oC,NBC - Breaking news is,no,no,this is a video. Also isn't solutions based journalism
Alaska Public Media: “Solutions Desk”,https://alaskapublic.org/tags/solutions-desk,no,yes,yes,
Milwaukee Journal Sentinel: “Wisconsin Ideas Lab”,https://www.jsonline.com/,yes,yes,no,not sojo
The Hechinger Report: “Solutions”,https://hechingerreport.org/special-reports/solutions/,no,no,yes,
City Lab: “Solutions”,https://www.bloomberg.com/citylab,yes,no,yes,
bioGraphic: “Solutions”,https://www.biographic.com/solutions/,yes,no,yes,Not sure about this one being present on media cloud
The Richland Source: “Solutions”,https://www.richlandsource.com/solutions/,yes,yes,no,
New Hampshire Union Leader: “Silver Linings” + “Beyond the Stigma” + “What’s Working””,"https://www.unionleader.com/news/silver_linings/, https://www.unionleader.com/news/stigma/, https://www.unionleader.com/news/business/whats_working/",yes,yes,"yes, but I couldn't find solutions based ones",
Apolitical,https://apolitical.co/home/,yes,no,yes,
NationSwell,https://nationswell.com/,no,no,no,
